ID;parent_ID;name;page;book_ID
f846b0b9-01d4-4f6d-82a4-d79204f62514;;Foreword;3;9b084139-0b1e-43b6-b12a-7b3669d75f02
f846b0b9-01d4-4f6d-82a4-d79204f62515;;Chapter 1;4;9b084139-0b1e-43b6-b12a-7b3669d75f02
f846b0b9-01d4-4f6d-82a4-d79204f62516;f846b0b9-01d4-4f6d-82a4-d79204f62515;Section 1.1;5;9b084139-0b1e-43b6-b12a-7b3669d75f02
f846b0b9-01d4-4f6d-82a4-d79204f62517;f846b0b9-01d4-4f6d-82a4-d79204f62515;Section 1.2;28;9b084139-0b1e-43b6-b12a-7b3669d75f02
f846b0b9-01d4-4f6d-82a4-d79204f62518;f846b0b9-01d4-4f6d-82a4-d79204f62517;Subsection 1.2.1;30;9b084139-0b1e-43b6-b12a-7b3669d75f02
f846b0b9-01d4-4f6d-82a4-d79204f62519;f846b0b9-01d4-4f6d-82a4-d79204f62517;Subsection 1.2.2;33;9b084139-0b1e-43b6-b12a-7b3669d75f02
f846b0b9-01d4-4f6d-82a4-d79204f62520;f846b0b9-01d4-4f6d-82a4-d79204f62515;Section 1.3;36;9b084139-0b1e-43b6-b12a-7b3669d75f02
f846b0b9-01d4-4f6d-82a4-d79204f62521;;Chapter 2;54;9b084139-0b1e-43b6-b12a-7b3669d75f02
f846b0b9-01d4-4f6d-82a4-d79204f62522;f846b0b9-01d4-4f6d-82a4-d79204f62521;Section 2.1;56;9b084139-0b1e-43b6-b12a-7b3669d75f02
f846b0b9-01d4-4f6d-82a4-d79204f62523;f846b0b9-01d4-4f6d-82a4-d79204f62521;Section 2.2;58;9b084139-0b1e-43b6-b12a-7b3669d75f02
f846b0b9-01d4-4f6d-82a4-d79204f62524;;Conclusion;63;9b084139-0b1e-43b6-b12a-7b3669d75f02
f846b0b9-01d4-4f6d-82a4-d79204f62525;;Endnotes;65;9b084139-0b1e-43b6-b12a-7b3669d75f02
f846b0b9-01d4-4f6d-82a4-d79204f62526;;Copyright notice;2;51061ce3-ddde-4d70-a2dc-6314afbcc73e
f846b0b9-01d4-4f6d-82a4-d79204f62527;;Chapter 1;3;51061ce3-ddde-4d70-a2dc-6314afbcc73e
f846b0b9-01d4-4f6d-82a4-d79204f62528;f846b0b9-01d4-4f6d-82a4-d79204f62527;Section 1.1;5;51061ce3-ddde-4d70-a2dc-6314afbcc73e
f846b0b9-01d4-4f6d-82a4-d79204f62529;f846b0b9-01d4-4f6d-82a4-d79204f62527;Section 1.2;13;51061ce3-ddde-4d70-a2dc-6314afbcc73e
f846b0b9-01d4-4f6d-82a4-d79204f62530;;Chapter 2;20;51061ce3-ddde-4d70-a2dc-6314afbcc73e
f846b0b9-01d4-4f6d-82a4-d79204f62531;f846b0b9-01d4-4f6d-82a4-d79204f62530;Section 2.1;21;51061ce3-ddde-4d70-a2dc-6314afbcc73e
f846b0b9-01d4-4f6d-82a4-d79204f62532;f846b0b9-01d4-4f6d-82a4-d79204f62530;Section 2.2;25;51061ce3-ddde-4d70-a2dc-6314afbcc73e
f846b0b9-01d4-4f6d-82a4-d79204f62533;f846b0b9-01d4-4f6d-82a4-d79204f62530;Section 2.3;27;51061ce3-ddde-4d70-a2dc-6314afbcc73e
f846b0b9-01d4-4f6d-82a4-d79204f62534;;Chapter 3;30;51061ce3-ddde-4d70-a2dc-6314afbcc73e
f846b0b9-01d4-4f6d-82a4-d79204f62535;;Endnotes;41;51061ce3-ddde-4d70-a2dc-6314afbcc73e
f846b0b9-01d4-4f6d-82a4-d79204f62551;;Acknowledgements;1;4a519e61-3c3a-4bd9-ab12-d7e0c5329933
f846b0b9-01d4-4f6d-82a4-d79204f62552;;The Flight;2;4a519e61-3c3a-4bd9-ab12-d7e0c5329933
f846b0b9-01d4-4f6d-82a4-d79204f62553;;Hexwood Farm;8;4a519e61-3c3a-4bd9-ab12-d7e0c5329933
f846b0b9-01d4-4f6d-82a4-d79204f62554;f846b0b9-01d4-4f6d-82a4-d79204f62553;Castle Saburac;13;4a519e61-3c3a-4bd9-ab12-d7e0c5329933
f846b0b9-01d4-4f6d-82a4-d79204f62555;f846b0b9-01d4-4f6d-82a4-d79204f62553;The Curse of Rapkyn;27;4a519e61-3c3a-4bd9-ab12-d7e0c5329933
f846b0b9-01d4-4f6d-82a4-d79204f62556;f846b0b9-01d4-4f6d-82a4-d79204f62553;The Mannikin;35;4a519e61-3c3a-4bd9-ab12-d7e0c5329933
f846b0b9-01d4-4f6d-82a4-d79204f62557;;The Eye of Time;44;4a519e61-3c3a-4bd9-ab12-d7e0c5329933
f846b0b9-01d4-4f6d-82a4-d79204f62558;;The Enchanting;59;4a519e61-3c3a-4bd9-ab12-d7e0c5329933
f846b0b9-01d4-4f6d-82a4-d79204f62559;f846b0b9-01d4-4f6d-82a4-d79204f62558;The Telling Bone;73;4a519e61-3c3a-4bd9-ab12-d7e0c5329933
f846b0b9-01d4-4f6d-82a4-d79204f62560;f846b0b9-01d4-4f6d-82a4-d79204f62558;The Power of Adamcos;86;4a519e61-3c3a-4bd9-ab12-d7e0c5329933
f846b0b9-01d4-4f6d-82a4-d79204f62561;f846b0b9-01d4-4f6d-82a4-d79204f62558;The House of the Sorcerer;98;4a519e61-3c3a-4bd9-ab12-d7e0c5329933
f846b0b9-01d4-4f6d-82a4-d79204f62562;;The Changeling;105;4a519e61-3c3a-4bd9-ab12-d7e0c5329933
f846b0b9-01d4-4f6d-82a4-d79204f62563;f846b0b9-01d4-4f6d-82a4-d79204f62562;The Flying Broomsticks;118;4a519e61-3c3a-4bd9-ab12-d7e0c5329933
f846b0b9-01d4-4f6d-82a4-d79204f62564;f846b0b9-01d4-4f6d-82a4-d79204f62563;The Fish Out of Water;126;4a519e61-3c3a-4bd9-ab12-d7e0c5329933
f846b0b9-01d4-4f6d-82a4-d79204f62565;;The Final Magic;138;4a519e61-3c3a-4bd9-ab12-d7e0c5329933
f846b0b9-01d4-4f6d-82a4-d79204f62566;;Copyright;159;4a519e61-3c3a-4bd9-ab12-d7e0c5329933
f846b0b9-01d4-4f6d-82a4-d79204f62567;;Editor's Note;1;f846b0b9-01d4-4f6d-82a4-d79204f62278
f846b0b9-01d4-4f6d-82a4-d79204f62568;;Chapter I;2;f846b0b9-01d4-4f6d-82a4-d79204f62278
f846b0b9-01d4-4f6d-82a4-d79204f62569;;Chapter II;31;f846b0b9-01d4-4f6d-82a4-d79204f62278
f846b0b9-01d4-4f6d-82a4-d79204f62570;f846b0b9-01d4-4f6d-82a4-d79204f62569;Section II.I;47;f846b0b9-01d4-4f6d-82a4-d79204f62278
f846b0b9-01d4-4f6d-82a4-d79204f62571;f846b0b9-01d4-4f6d-82a4-d79204f62569;Section II.II;62;f846b0b9-01d4-4f6d-82a4-d79204f62278
f846b0b9-01d4-4f6d-82a4-d79204f62572;f846b0b9-01d4-4f6d-82a4-d79204f62569;Section II.III;75;f846b0b9-01d4-4f6d-82a4-d79204f62278
f846b0b9-01d4-4f6d-82a4-d79204f62573;f846b0b9-01d4-4f6d-82a4-d79204f62569;Section II.IV;87;f846b0b9-01d4-4f6d-82a4-d79204f62278
f846b0b9-01d4-4f6d-82a4-d79204f62574;;Chapter III;105;f846b0b9-01d4-4f6d-82a4-d79204f62278
f846b0b9-01d4-4f6d-82a4-d79204f62575;f846b0b9-01d4-4f6d-82a4-d79204f62574;Section III.I;128;f846b0b9-01d4-4f6d-82a4-d79204f62278
f846b0b9-01d4-4f6d-82a4-d79204f62576;f846b0b9-01d4-4f6d-82a4-d79204f62575;Subsection III.I.I;156;f846b0b9-01d4-4f6d-82a4-d79204f62278
f846b0b9-01d4-4f6d-82a4-d79204f62577;f846b0b9-01d4-4f6d-82a4-d79204f62575;Subsection III.I.II;173;f846b0b9-01d4-4f6d-82a4-d79204f62278
f846b0b9-01d4-4f6d-82a4-d79204f62578;f846b0b9-01d4-4f6d-82a4-d79204f62574;Section III.II;185;f846b0b9-01d4-4f6d-82a4-d79204f62278
f846b0b9-01d4-4f6d-82a4-d79204f62579;;Chapter IV;203;f846b0b9-01d4-4f6d-82a4-d79204f62278
f846b0b9-01d4-4f6d-82a4-d79204f62580;;Acknowledgments;250;f846b0b9-01d4-4f6d-82a4-d79204f62278
f846b0b9-01d4-4f6d-82a4-d79204f62582;;Foreword;1;aebdfc8a-0dfa-4468-bd36-48aabd65e663
f846b0b9-01d4-4f6d-82a4-d79204f62583;;Chapter 1;3;aebdfc8a-0dfa-4468-bd36-48aabd65e663
f846b0b9-01d4-4f6d-82a4-d79204f62584;f846b0b9-01d4-4f6d-82a4-d79204f62583;Section 1.1;5;aebdfc8a-0dfa-4468-bd36-48aabd65e663
f846b0b9-01d4-4f6d-82a4-d79204f62585;f846b0b9-01d4-4f6d-82a4-d79204f62583;Section 1.2;8;aebdfc8a-0dfa-4468-bd36-48aabd65e663
f846b0b9-01d4-4f6d-82a4-d79204f62586;;Chapter 2;10;aebdfc8a-0dfa-4468-bd36-48aabd65e663
f846b0b9-01d4-4f6d-82a4-d79204f62587;f846b0b9-01d4-4f6d-82a4-d79204f62586;Section 2.1;12;aebdfc8a-0dfa-4468-bd36-48aabd65e663
f846b0b9-01d4-4f6d-82a4-d79204f62588;f846b0b9-01d4-4f6d-82a4-d79204f62587;Subsection 2.1.1;14;aebdfc8a-0dfa-4468-bd36-48aabd65e663
f846b0b9-01d4-4f6d-82a4-d79204f62589;f846b0b9-01d4-4f6d-82a4-d79204f62587;Subsection 2.1.2;16;aebdfc8a-0dfa-4468-bd36-48aabd65e663
f846b0b9-01d4-4f6d-82a4-d79204f62590;f846b0b9-01d4-4f6d-82a4-d79204f62586;Section 2.2;18;aebdfc8a-0dfa-4468-bd36-48aabd65e663
f846b0b9-01d4-4f6d-82a4-d79204f62591;f846b0b9-01d4-4f6d-82a4-d79204f62590;Subsection 2.2.1;21;aebdfc8a-0dfa-4468-bd36-48aabd65e663
f846b0b9-01d4-4f6d-82a4-d79204f62592;;Endnotes;25;aebdfc8a-0dfa-4468-bd36-48aabd65e663
